ARTS4631-51 |Visualist Studio 3 ||Cram, Matthew S |03/08/12|Open|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS4632-51 |Visualist Studio 4 ||Cram, Matthew S |04/08/12|Open|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS4999-01 |Special Topics in Art ||Cram, Matthew S |20/20|Open|0:00 - 0:00 AM; Campus, Blank , blank |3|08/20/12|12/07/12
ARTS4999-02 |Special Topics in Art ||Lyons, Gregory A |20/20|Open|0:00 - 0:00 AM; MAIN Campus|3|08/20/12|12/07/12
ARTS4999-03 |Special Topics in Art ||Klutenkamper, Allyson |13/16|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS4999-04 |Special Topics in Art ||Klutenkamper, Allyson |20/20|Open|0:00 - 0:00 AM; MAIN Campus|3|08/20/12|12/07/12
ARTS4999-05 |Special Topics in Art ||Raiser, Charles L |20/20|Open|0:00 - 0:00 AM; MAIN Campus|3|08/20/12|12/07/12
ARTS4999-06 |Special Topics in Art ||Bowen, Robert Michael |14/15|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ARTS4999-07 |Special Topics in Art ||Cram, Matthew S |10/10/12|Open|0:00 - 0:00 AM; Campus, Blank , blank |3|08/20/12|12/07/12
ARTS4999-08 |Special Topics in Art ||Meadows, William M |01/01/12|Open|0:00 - 0:00 AM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ATTR2100-01 |Intro to Athletic Training ||Perry, Keenan J |30/40|Open|MW 10:00 - 10:50 AM; MAIN Campus, Kricker Hall , Lecture |2|08/20/12|12/07/12
ATTR2150-01 |Taping and Bracing ||Boggs, Ryan D |03/12/12|Open|M 8:00 - 9:40 AM; MAIN Campus, Rhodes Sports Center , Athletic Training Lab |2|08/20/12|12/07/12
ATTR2150-02 |Taping and Bracing ||Boggs, Ryan D |0/12|Closed|W 8:00 - 9:40 AM; MAIN Campus, Rhodes Sports Center , Athletic Training Lab |2|08/20/12|12/07/12
ATTR2150-03 |Taping and Bracing ||Boggs, Ryan D |08/12/12|Open|F 8:00 - 9:40 AM; MAIN Campus, Rhodes Sports Center , Athletic Training Lab |2|08/20/12|12/07/12
ATTR2300-01 |Athlete Health Maintenance ||Niedermeier, Alicia A |13/40|Open|MWF 10:00 - 10:50 AM; MAIN Campus, Kricker Hall , Lecture |3|08/20/12|12/07/12
ATTR2890-01 |Lower Body Intensive Clinical Techniques and Practicum ||Perry, Keenan J 
Boggs, Ryan D 
Swayne, Megan R |19/20|Open|T 8:00 - 8:50 AM; MAIN Campus, Rhodes Sports Center , Athletic Training Lab 
0:00 - 0:00 AM; Campus, Blank , blank |2|08/20/12|12/07/12
ATTR3300-01 |Assessment of the Lower Body ||Perry, Keenan J |17/20|Open|TR 11:00AM - 12:15 PM; MAIN Campus, Rhodes Sports Center , Sports Studies Classroom|3|08/20/12|12/07/12
ATTR3400-01 |Therapeutic Exercise ||STAFF |16/20|Open|MWF 9:00 - 9:50 AM; MAIN Campus, Rhodes Sports Center , Sports Studies Classroom
R 12:30 - 1:20 PM; MAIN Campus, Rhodes Sports Center , Athletic Training Lab |4|08/20/12|12/07/12
ATTR3500-01 |Therapeutic Modalities ||Ward, James A |21/24|Open|MWF 11:00 - 11:50 AM; MAIN Campus, Rhodes Sports Center , Sports Studies Classroom
T 12:30 - 1:20 PM; MAIN Campus, Rhodes Sports Center , Athletic Training Lab |4|08/20/12|12/07/12
ATTR3990-01 |Therapeutic Rehab Intensive Clin Techniques and Practicum ||Perry, Keenan J 
